,area_type,availability,location,size,society,total_sqft,bath,balcony,price
3530,Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1,1,30
3531,Plot  Area,Ready To Move,Varthur,3 Bedroom,PrarePa,1200,2,1,98
3532,Built-up  Area,Ready To Move,Bagalakunte,1 Bedroom,PrarePa,700,1,1,162
3533,Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1205.47,2,1,81
3534,Plot  Area,Ready To Move,T Dasarahalli,3 Bedroom,Soresea,1200,3,2,130
3535,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Naireru,1700,3,2,75
3536,Plot  Area,Ready To Move,Thanisandra,5 Bedroom,Naireru,750,4,0,62
3537,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1090,2,1,54.54
3538,Super built-up  Area,Ready To Move,Yeshwanthpur,4 BHK,IBityin,3600,5,1,220
3539,Built-up  Area,Ready To Move,Kundalahalli,1 BHK,IBityin,2400,1,0,650
3540,Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,923,1,1,60.84
3541,Super built-up  Area,18-May,Muthurayya Swamy Layout,4 BHK,MacleK ,3595,6,2,360
3542,Super built-up  Area,Ready To Move,Green Glen Layout,2 BHK,GaentAp,1050,2,2,48
3543,Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495,2,2,79.5
3544,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482 - 1846,2,1,93.865
3545,Built-up  Area,Ready To Move,Narayanapura,3 BHK,Puachal,1485,3,2,85
3546,Super built-up  Area,19-Dec,Dommasandra,3 BHK,Puachal,1033,2,2,31.5
3547,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1400,2,1,48
3548,Built-up  Area,Ready To Move,Indira Nagar,1 Bedroom,DSgmax ,500,1,0,70
3549,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ascid P,944,2,1,35
3550,Built-up  Area,Ready To Move,Whitefield,5 Bedroom,Ascid P,3250,5,0,290
3551,Super built-up  Area,19-Mar,Whitefield,2 BHK,Prtates,1216,2,1,66.48
3552,Super built-up  Area,Ready To Move,Thirumenahalli,2 BHK,Prtates,1100,2,1,39.5
3553,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1743,3,2,93.25
3554,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1274,2,2,48.42
3555,Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,Pyikad ,2500,3,2,425
3556,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,SaodySa,1512,2,2,110
3557,Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,SaodySa,3100,5,1,385
3558,Super built-up  Area,Ready To Move,Cox Town,3 BHK,SaodySa,1650,3,3,100
3559,Built-up  Area,Ready To Move,Doddathoguru,3 BHK,SryleHo,1875,3,1,55
3560,Built-up  Area,Ready To Move,Whitefield,3 BHK,SryleHo,1350,3,2,54
3561,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,SryleHo,1219,2,2,40
3562,Plot  Area,Ready To Move,Goraguntepalya,4 Bedroom,SryleHo,1200,4,1,150
3563,Plot  Area,Ready To Move,Sarjapura - Attibele Road,3 Bedroom,SryleHo,2400,3,3,85
3564,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SryleHo,1141,2,1,44.4
3565,Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1151,2,1,43.1
3566,Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,832,3,1,77
3567,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,915,2,1,38
3568,Plot  Area,Ready To Move,Rajankunte,3 Bedroom,Shthi S,3259,3,0,270
3569,Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2,1,65.12
3570,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,139
3571,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,MCngeha,1200,2,2,53
3572,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Phhidx ,1300,2,2,65
3573,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Amivace,1457,2,2,85
3574,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,Marnaer,1262,2,2,55
3575,Plot  Area,Ready To Move,BEML Layout,4 Bedroom,Marnaer,1196,3,1,150
3576,Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,Marnaer,900,2,2,22.5
3577,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,420,1,1,17
3578,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,Jae 1hu,1160,2,1,46.39
3579,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Jae 1hu,1115,2,2,50
3580,Built-up  Area,Ready To Move,JP Nagar,3 BHK,Jae 1hu,1315,2,1,85.4
3581,Built-up  Area,Ready To Move,Babusapalaya,2 BHK,Jae 1hu,1500,2,2,57
3582,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1127,2,1,68
3583,Super built-up  Area,18-Feb,Kundalahalli,3 BHK,Dieldli,1397,3,2,104
3584,Built-up  Area,20-Dec,Whitefield,2 BHK,Dieldli,1173,2,1,60
3585,Super built-up  Area,Ready To Move,Sompura,2 BHK,Dieldli,1090,2,2,28
3586,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,2720,5,1,210
3587,Super built-up  Area,18-May,Jakkur,2 BHK,BrdgeNo,1230,2,1,76
3588,Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4 BHK,BrdgeNo,3200,3,3,190
3589,Super built-up  Area,19-Dec,Sarjapur  Road,2 BHK,Daivon ,858,2,1,31.57
3590,Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868,3,1,121
3591,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1689.28,3,2,91.2
3592,Built-up  Area,Ready To Move,Vishwapriya Layout,4 BHK,Baveles,600,3,2,73
3593,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Baveles,1425,3,3,49.88
3594,Plot  Area,Ready To Move,Subramanyapura,6 Bedroom,Baveles,1200,6,2,170
3595,Plot  Area,Ready To Move,Tindlu,2 Bedroom,Baveles,1350,2,1,100
3596,Built-up  Area,Ready To Move,Channasandra,6 Bedroom,Baveles,4200,6,0,180
3597,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ihnueut,1310,2,1,85
3598,Super built-up  Area,18-Jun,Haralur Road,4 BHK,SNnia E,2805 - 3565,2,1,175
3599,Super built-up  Area,Ready To Move,MLA Layout,2 BHK,SNnia E,970,2,1,40
3600,Super built-up  Area,18-May,Kundalahalli,3 BHK,Dieldli,1397,3,3,108
3601,Super built-up  Area,18-Jul,Sarjapur,2 BHK,Vehes L,1157,2,1,40
3602,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Vehes L,1125,2,1,61.2
3603,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,DSgam S,1157,2,1,42
3604,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,BModsen,1241,2,1,82
3605,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1,1,62
3606,Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4,3,220
3607,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,4,1,148
3608,Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,596,1,1,42
3609,Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16 BHK,Raiyai ,10000,16,1,550
3610,Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200,4,3,110
3611,Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1910,3,1,190
3612,Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1139,2,2,80
3613,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,5,2,225
3614,Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,Prtanha,1033,2,2,28.41
3615,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1168,2,2,64.08
3616,Super built-up  Area,Ready To Move,Chandapura,2 BHK,IBityin,877,2,3,42
3617,Built-up  Area,18-Jul,Electronics City Phase 1,2 BHK,Shitt S,1340,2,2,75
3618,Built-up  Area,Ready To Move,B Narayanapura,3 BHK,ShentAp,1405,2,2,70
3619,Super built-up  Area,Ready To Move,Siddapura,3 BHK,ShentAp,1800,3,3,65
3620,Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1750,3,3,149
3621,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2,1,65
3622,Plot  Area,Ready To Move,Malleshwaram,3 Bedroom,Puodse ,675,2,0,148
3623,Super built-up  Area,19-Jun,Byrasandra,2 BHK,Sancy R,985,2,1,63
3624,Super built-up  Area,16-Jul,Victoria Layout,2 BHK,Sancy R,1300,2,1,129
3625,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,2,150
3626,Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Srowsee,1490,2,3,88
3627,Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,1,1,25
3628,Super built-up  Area,19-Aug,Hormavu,2 BHK,VBavaai,1130,2,1,42.3
3629,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,BaiseBa,1080,2,2,55
3630,Built-up  Area,Ready To Move,Singasandra,4 BHK,BaiseBa,3126,4,1,120
3631,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,52.17
3632,Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Dhalsh ,1375,3,2,59
3633,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1290,2,1,94.5
3634,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1318,2,1,85.28
3635,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2,1,68
3636,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4428,4,2,255
3637,Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1051,2,2,56.74
3638,Plot  Area,Ready To Move,Kengeri,3 Bedroom,GolusLi,3500,5,0,275
3639,Plot  Area,Ready To Move,Kannamangala,4 Bedroom,MIalerd,2400,4,1,130
3640,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,3,85
3641,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2912,6,2,210
3642,Super built-up  Area,Ready To Move,Basapura,2 BHK,Jaangm ,1301,2,2,55
3643,Super built-up  Area,Ready To Move,Thippasandra,1 BHK,Jaangm ,650,1,0,30
3644,Plot  Area,18-Jul,Varthur,3 Bedroom,Jaangm ,1200,3,1,67.75
3645,Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,Jaangm ,1500,2,2,89.99
3646,Plot  Area,Ready To Move,Kumara Park,4 Bedroom,Jaangm ,2700,6,1,675
3647,Plot  Area,Ready To Move,Nagadevanahalli,4 Bedroom,Jaangm ,1350,4,2,145
3648,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,28.88
3649,Super built-up  Area,19-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2,1,45.91
3650,Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3,1,160
3651,Built-up  Area,Ready To Move,Nagarbhavi,1 Bedroom,SoineC ,900,1,0,175
3652,Super built-up  Area,18-Apr,Hebbal,3 BHK,Magiaya,1355,3,1,83.87
3653,Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2145,4,1,270
3654,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4,3,300
3655,Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,Sariaat,1118,2,0,30
3656,Super built-up  Area,Ready To Move,Roopena Agrahara,1 BHK,Sariaat,910,1,1,42
3657,Super built-up  Area,18-May,Madiwala,3 BHK,Sariaat,1250,3,2,39
3658,Super built-up  Area,18-Mar,Hosakerehalli,2 BHK,SoageHe,1304,2,3,100
3659,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3,2,58
3660,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1400,2,2,68
3661,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Villeka,1070,2,2,47.5
3662,Super built-up  Area,17-Nov,Hebbal,3 BHK,Emceske,3500,3,3,395
3663,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132,2,1,89.37
3664,Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3 BHK,GoAirej,2000,3,2,85
3665,Plot  Area,Ready To Move,Hebbal,7 Bedroom,GoAirej,2400,5,1,550
3666,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,DShtsow,794,1,2,65
3667,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1090,2,2,43.59
3668,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3,2,70
3669,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2059,3,2,225
3670,Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1,1,30
3671,Super built-up  Area,18-May,Bhoganhalli,2 BHK,Rosha I,1447,2,1,75.97
3672,Super built-up  Area,20-Dec,Whitefield,2 BHK,VaarkMe,1269,2,1,75
3673,Plot  Area,18-Apr,KR Layout,4 Bedroom,VaarkMe,4800,4,0,700
3674,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shiew T,1070,2,2,37.45
3675,Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,Shiew T,1150,2,0,28
3676,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Shiew T,1208,2,2,70
3677,Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Cimeshw,1185,2,1,45.5
3678,Plot  Area,Ready To Move,Laggere,3 Bedroom,Cimeshw,1200,3,1,130
3679,Super built-up  Area,Ready To Move,Anekal,2 BHK,Cimeshw,888,2,1,34
3680,Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,1015,2,2,25.88
3681,Built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,SunceEs,532,1,1,22.49
3682,Super built-up  Area,Ready To Move,St Thomas Town,3 BHK,SunceEs,1060,3,1,62
3683,Built-up  Area,Ready To Move,Electronic City,1 BHK,SunceEs,700,1,1,35
3684,Super built-up  Area,Ready To Move,Ckikkakammana Halli,2 BHK,Radhian,902,2,2,42
3685,Plot  Area,Ready To Move,Banashankari 2nd Stage,6 Bedroom,Radhian,600,3,3,95
3686,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Radhian,1175,2,1,47
3687,Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1365,2,1,122
3688,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Hincy R,984,2,1,51
3689,Plot  Area,Ready To Move,Hebbal,4 Bedroom,Hincy R,2700,2,2,100
3690,Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,Hincy R,1475,3,2,96
3691,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,79
3692,Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,NDionas,1200,6,1,220
3693,Built-up  Area,Ready To Move,Babusapalaya,3 BHK,NDionas,1453,2,2,43.59
3694,Super built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,SNiew L,1550,2,3,160
3695,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1666,3,1,95
3696,Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,DLhtsnd,1410,4,2,160
3697,Plot  Area,18-Mar,Yelahanka,4 Bedroom,Nileyap,4025,5,3,800
3698,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vestas ,1845,3,3,91
3699,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Puownm ,1676,3,3,52
3700,Super built-up  Area,20-Dec,Uttarahalli,2 BHK,PrdgeLa,1137,2,1,63
3701,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2,1,70.5
3702,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,FoGemna,1374,2,2,70
3703,Built-up  Area,Ready To Move,Judicial Layout,3 Bedroom,FoGemna,1700,3,2,155
3704,Plot  Area,Ready To Move,Whitefield,5 Bedroom,FoGemna,3227,5,0,250
3705,Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,Cestama,2145,4,1,125
3706,Plot  Area,Ready To Move,Koramangala,4 Bedroom,Cestama,2400,6,3,600
3707,Super built-up  Area,18-May,Kasavanhalli,3 BHK,Cestama,2170,3,2,151
3708,Built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,Cestama,1080,2,1,55
3709,Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SNbay G,1790,3,3,100
3710,Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,SNbay G,550,1,1,17
3711,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,SNbay G,1270,2,2,50.79
3712,Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Ahhtser,1033,2,2,48
3713,Built-up  Area,Ready To Move,Kamala Nagar,2 Bedroom,Ahhtser,1000,2,1,80
3714,Super built-up  Area,19-Dec,Binny Pete,4 BHK,She 2rk,2940,6,2,280
3715,Super built-up  Area,Ready To Move,Kumarapalli,2 BHK,BMmesHo,1240,2,2,52.6
3716,Plot  Area,Ready To Move,Kasturi Nagar,5 Bedroom,BMmesHo,1650,5,1,450
3717,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,39
3718,Built-up  Area,15-Jun,Outer Ring Road East,3 BHK,SRzonhu,1500,2,0,97
3719,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730,3,3,139
3720,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Asintas,1915,3,3,80
3721,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BainePr,1545,3,2,79
3722,Super built-up  Area,19-Mar,Marenahalli,3 BHK,BainePr,1865,4,2,140
3723,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,BainePr,1150,2,2,40
3724,Super built-up  Area,18-Aug,HAL 3rd Stage,2 BHK,BainePr,1200,2,2,49
3725,Built-up  Area,Ready To Move,Kengeri,2 BHK,BainePr,963,2,2,40
3726,Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3,1,120
3727,Super built-up  Area,Ready To Move,Basavangudi,4 BHK,AreraRe,2600,4,3,260
3728,Built-up  Area,Ready To Move,Kaikondrahalli,4 BHK,Srsica ,1700,4,1,108
3729,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3,1,120
3730,Built-up  Area,Ready To Move,Yelahanka,3 BHK,Rarthne,1371,2,2,65
3731,Super built-up  Area,21-Mar,Hennur Road,2 BHK,Rarthne,901,2,1,49.5
3732,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Rarthne,600,7,0,73
3733,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,1730,3,1,120
3734,Plot  Area,Ready To Move,Konanakunte,4 Bedroom,SJarkte,1200,4,0,125
3735,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1500,3,3,102
3736,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3785,6,1,280
3737,Built-up  Area,Ready To Move,Nagawara Junction,4 BHK,Maana E,3500,4,2,245
3738,Carpet  Area,Ready To Move,Lingarajapuram,2 BHK,Glnetch,1203,2,1,59.86
3739,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Glnetch,1357,2,2,54
3740,Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Suensda,1600,3,2,76
3741,Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,350,1,1,13.5
3742,Super built-up  Area,Ready To Move,Varthur,3 BHK,MKllei ,1665,3,1,53
3743,Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,MKllei ,1400,3,3,200
3744,Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,MKllei ,835,1,1,46.95
3745,Plot  Area,Ready To Move,Chandra Layout,2 Bedroom,MKllei ,815,3,2,160
3746,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,1444,2,1,80
3747,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,NDionas,1277,2,2,55
3748,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,94.71
3749,Super built-up  Area,Ready To Move,Maithri Layout,2 BHK,Soiewre,1134,2,1,40
3750,Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,Soiewre,995,2,1,34.82
3751,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2760,5,2,157
3752,Built-up  Area,Ready To Move,Marathahalli,2 BHK,PueraRi,1325,1,1,92
3753,Built-up  Area,Ready To Move,Kothanur,6 Bedroom,PueraRi,4000,6,1,150
3754,Built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1525,3,2,90
3755,Super built-up  Area,18-Dec,Raja Rajeshwari Nagar 5th Stage,3 BHK,PueraRi,1320,2,2,73
3756,Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,SrnesSr,650,1,1,23
3757,Built-up  Area,Ready To Move,Old Airport Road,3 BHK,SrnesSr,1858,2,1,167
3758,Super built-up  Area,21-Aug,Electronic City,2 BHK,SrnesSr,1150,2,1,38
3759,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,MJtroty,769,2,1,40
3760,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Prarkun,1571,3,2,105
3761,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3,1,86.56
3762,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2,2,135
3763,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niway G,902,2,2,49
3764,Plot  Area,18-Mar,Sarjapur,3 Bedroom,Niway G,2238,3,1,140
3765,Built-up  Area,18-Dec,Electronic City,2 BHK,Niway G,1090,2,1,31.49
3766,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1712,3,3,82
3767,Built-up  Area,Ready To Move,Haralur Road,2 BHK,NCowsar,1088,2,1,68
3768,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,NCowsar,1575,3,3,63.1
3769,Plot  Area,Ready To Move,Nanjappa Garden,6 Bedroom,NCowsar,2150,6,3,205
3770,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Roima A,1920,3,2,150
3771,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Roima A,1000,2,0,57
3772,Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,Roima A,1100,2,2,56.1
3773,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1089,2,2,45
3774,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1106,2,1,43.09
3775,Super built-up  Area,18-Dec,Kengeri,2 BHK,Maows M,927,2,2,37
3776,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,58
3777,Built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,923,1,1,45.69
3778,Plot  Area,18-Aug,Sarjapur  Road,3 Bedroom,Bhe 2ko,2900,3,2,285
3779,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1175,2,2,75
3780,Built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,975,2,1,55
3781,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4,1,180
3782,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1330,3,2,72
3783,Super built-up  Area,20-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2,1,59.74
3784,Super built-up  Area,Ready To Move,Harlur,3 BHK,Bhe 2ko,1758,3,2,133
3785,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Bhe 2ko,1200,3,2,265
3786,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,77.68
3787,Plot  Area,Ready To Move,Nagadevanahalli,3 Bedroom,Magiaya,600,4,2,110
3788,Built-up  Area,Ready To Move,Pai Layout,2 BHK,SantsAp,1100,2,2,50
3789,Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,Vaharvi,1170,2,2,46.8
3790,Built-up  Area,Ready To Move,Vayunandana Layout,5 Bedroom,Vaharvi,2400,5,2,120
3791,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3,3,51.77
3792,Built-up  Area,17-Dec,Hebbal,2 BHK,Mahosya,1420,2,2,107
3793,Plot  Area,Ready To Move,Geetanjali Layout,4 Bedroom,Mahosya,1200,4,2,300
3794,Plot  Area,Ready To Move,7th Phase JP Nagar,6 Bedroom,Mahosya,1045,6,3,160
3795,Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591,3,1,115
3796,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,120
3797,Plot  Area,Ready To Move,Kenchenhalli,2 Bedroom,Eladero,675,3,1,52
3798,Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1055,2,1,57.63
3799,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Sonet G,1918,3,2,129
3800,Super built-up  Area,18-Jan,Sarjapur  Road,2 BHK,Kelia R,1280,2,1,76
3801,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSdhiSa,1560,3,3,66
3802,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1145,2,2,49.5
3803,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,Sodgere,2106,3,2,126
3804,Super built-up  Area,Ready To Move,"EPIP AREA, WHITEFIELD",3 BHK,Sodgere,1801,3,2,139
3805,Plot  Area,Ready To Move,Seegehalli,5 Bedroom,Sodgere,1200,5,3,120
3806,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1718,3,2,288
3807,Super built-up  Area,20-Jun,Whitefield,3 BHK,Somns T,1306,3,2,54.65
3808,Super built-up  Area,19-Jun,Hebbal,2 BHK,Raard B,1320,2,1,92
3809,Built-up  Area,Ready To Move,1st Stage Domlur,3 BHK,Raard B,1350,2,2,65
3810,Built-up  Area,Ready To Move,"RMV extension stage 2, rmv extension",4 BHK,Raard B,2990,4,1,324
3811,Built-up  Area,Ready To Move,Kalyan nagar,4 BHK,AHavenc,3800,5,3,300
3812,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,DSnjh S,1344,2,1,42
3813,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,DSnjh S,1893,3,2,100
3814,Super built-up  Area,Ready To Move,Chandapura,3 BHK,DSnjh S,1107,2,1,43
3815,Plot  Area,Ready To Move,R.T. Nagar,9 Bedroom,DSnjh S,1200,10,1,180
3816,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1190,2,1,75
3817,Built-up  Area,Ready To Move,Whitefield,2 BHK,Pranthi,1000,2,1,35
